A qual  programa esta vinculado?;Ha quanto tempo esta vinculado ao referido Programas de Pos-Graduacao?;Como voce avalia a qualidade das aulas e do material utilizado?[Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa? [Infraestrutura geral];Como voce avalia a infraestrutura do programa? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os discentes];Como voce avalia o relacionamento entre voce e: [os demais professores do programa];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto orientador];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [normas Capes];Como voce avalia o seu conhecimento acerca: [processo de avaliacao da Capes];Em relacao aos PROJETOS DE PESQUISA orientados por voce nesse Programa, voce esta:;Em relacao à sua PRODUcaO CIENTiFICA relacionada à esse Programa, voce esta:;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia social?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia econômica?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa promovem avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que os projetos de pesquisa orientados por voce nesse programa estao alinhados com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados pelas pesquisas sob sua orientacao nesse Programa e das producoes cientificas delas decorrentes? (Marque todas que se aplicam).;Voce tem iniciativa de prover captacao de recurso externo para o desenvolvimento de seus projetos de pesquisa (exceto bolsa)?;Na sua opiniao, o que e preciso para que o seu Programa tenha producao de conhecimento cientifico e tecnologico qualificado, reconhecido pela comunidade cientifica internacional da area em que atua?;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que a linha de pesquisa em que atua nesse Programa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente dos resultados das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Alguma tecnologia de APLICAcaO SOCIAL ja foi criada como resultado das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento CIENTiFICO, ou pretende apresentar?;Os projetos de pesquisa sob sua orientacao poderao gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Quais os principais impactos sociais a serem promovidos por seus projetos de pesquisa? (Marque todas aplicaveis);Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao?;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Voce possui projetos de pesquisa em parceria com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Sinto-me capacitado para oferecer disciplinas em lingua inglesa:;Gostaria de adicionar algum comentario referente ao Programa de Pos-Graduacao em questao?;Gostaria de adicionar algum comentario referente à Pro-Reitoria de Pesquisa e Pos-Graduacao?
Engenharia Agricola;Entre 4 e 12 anos;4;4;5;4;4;4;4;4;4;4;5;4;4;4;4;3;3;5;4;4;5;4;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Desenvolver pesquisas que realmente resolvam problemas da sociedade e publicacao dos resultados em periodicos relevantes.;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional, Em midias sociais. Faco difusao de conhecimento e resultados das pesquisas em um canal do instagram (@agriculturadeprecisao) e tambem no YoutTube(Canal: Agricultura Digital);Sim, em um evento local, Sim, em um evento regional, Sim, em um evento internacional, Nao, Em midias sociais. Faco difusao de conhecimento e resultados das pesquisas em um canal do instagram (@agriculturadeprecisao) e tambem no YoutTube(Canal: Agricultura Digital);5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;3;3;Sim;4;4;Com relacao a internacionalizacao, acredito que temos que preparar todos os sistemas da UFV para poderem ser acessados em ingles. ;Nossa Pro-Reitoria de Pesquisa e Pos-Graduacao esta sempre nos ajudando na medida do possivel. Os servidores sao super atenciosos. 
Engenharia Civil;Menos de 4 anos;5;4;4;4;3;3;5;5;5;5;4;4;5;4;5;5;5;5;4;5;5;5;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a prefeituras municipais;Maior investimento de agencias de fomento governamentais ;Sim;Sim;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;3;Nao;3;1;;
Biologia Celular e Estrutural;Mais de 12 anos;4;4;4;3;4;2;5;5;5;5;5;5;4;4;4;3;3;4;3;4;4;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Aumentar a liberdade de acao para os pesquisadores. Somos muito presos a burocracia exagerada em todos o sistema;Nao;;;Nao;Sim, em um evento local;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;3;;3;4;Nao;3;2;;
Medicina Veterinaria;Mais de 12 anos;5;5;5;5;4;4;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;junto às agencias de fomento e empresas interessadas;Mais dinheiro para pagar taxas de artigos cientificos e tambem para contribuir um pouco no desenvolvimento das pesquisas;Sim;Sim;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;5;5;Sim;4;4;No atual momento fica dificil de exigir alguma coisa, mas volto na tecla de maior auxilio nas taxas de publicacao .;Algum auxilio nas taxas de publicacao, principalmente.
Patrimônio Cultural, Paisagens e Cidadania;Menos de 4 anos;4;4;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;Sim;4;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;;Sim;Sim;Nao;Nao;Sim, em um evento internacional;Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;4;Sim;4;3;;
Entomologia;Mais de 12 anos;4;4;5;4;4;3;4;3;4;4;3;3;5;5;5;4;4;4;5;3;4;5;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Primar pela qualidade do trabalho e agentes (i.e., recursos humanos) a ser desenvolvido ;Nao;;;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;4;Sim;5;5;Apos periodo conturbado, parece que a coordenacao vem se acertando nos ultimos anos com reflexo positivo no mesmo;Vem tendo de enfrentar desafios pouco convencionais e dificuldades econômicas no contexto nacional e estadual, contudo vem se mostrando agil e pro-ativa com resultados iniciais interessantes. Sao necessarias mudancas mais profundas com impacto a longo prazo, mas mesmo isto vem sendo colocado em acao mesmo que de forma menos perceptivel
Biologia Celular e Estrutural;Menos de 4 anos;5;5;5;5;4;3;5;5;5;5;5;5;5;5;5;3;3;4;3;4;3;5;Sim;5;Outros Pesquisadores, Meio ambiente;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Recurso financeiro;Sim;Nao;Nao;Sim;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;4;;4;4;Nao;4;3;;
Ciencia Florestal;Menos de 4 anos;4;4;4;5;5;4;5;5;4;5;4;5;5;3;2;2;2;4;4;4;3;4;Sim;3;Empresas;Sim, junto a empresas interessadas nos resultados da pesquisa;publicacoes de alto impacto (revistas A1) e divulgacoes;Sim;Sim;Nao;Sim;Sim, em um evento regional;Sim, em um evento local;4;Transferencia de conhecimento para a sociedade;3;;2;2;Sim;1;1;;
Arquitetura e Urbanismo;Menos de 4 anos;4;4;Sem condicoes de avaliar;4;Sem condicoes de avaliar;Sem condicoes de avaliar;5;5;5;5;5;5;5;4;2;5;5;4;4;4;4;4;Sim;5;Sociedade, Empresas;Nao;Sem comentarios;Sim;Sim;Nao;Nao;Nao;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;3;3;Sim;4;4;Sem comentarios;Sem comentarios
Engenharia Agricola;Menos de 4 anos;4;4;3;4;4;3;4;5;5;5;5;4;4;4;3;3;3;4;3;3;5;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Acredito que a qualidade da producao cientifica e tecnologica, para ser reconhecida pela comunidade cientifica internacional, deva gerar conhecimento/produtos  que utilizem metodologias que possam ser aplicadas globalmente. Ou seja, e o desenvolvimento de metodologias, e a producao de conhecimento e nao simplesmente a reproducao do que ja existe. Abordagens locais com metodologias ja existentes nao sao relevantes muitas vezes nem mesmo para a comunidade cientifica nacional. ;Nao;;;Nao;Ainda nao, devido ao fato de ter pouco de orientacao. Mas e um dos objetivos.;Ainda nao, devido ao fato de ter pouco de orientacao. Mas e um dos objetivos.;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;3;;2;3;Nao;2;1;A coordenacao do PPGEA-UFV vem fazendo um excelente trabalho, buscando identificar seus pontos de fragilidade e seus pontos fortes e, dessa forma, trabalhar na constante melhoria do Programa.;
Ciencia Florestal;Mais de 12 anos;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais, Agencias nao governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Maior intercâmbio de professores por meio de visitas tecnicas internacionais e incentivo a vinda de professores visitantes ao Brasil.;Sim;Sim;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;3;3;Sim;2;0;Nao!;Nao!
Educacao Fisica;Mais de 12 anos;4;4;3;4;4;1;5;4;5;5;5;4;5;5;4;4;4;5;4;5;4;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Recursos de financiamento para o desenvolvimento de pesquisas (material de consumo e permanente), alem de recursos para pagamento de revistas para a publicacao.;Nao;;;Sim;Materias jornalisticas em jornais, revistas, blogs e sites.;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;5;Sim;3;0;A falta de recursos para a pesquisa ira sucumbir a pos-graduacao.;Deveria promover acoes de grande projetos multiusuarios como foi a criacao do BIOAGRO
Medicina Veterinaria;Mais de 12 anos;4;4;5;5;4;4;5;5;4;5;4;4;4;4;4;4;4;4;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Maior investimento em pesquisa por parte dos orgaos governamentais de fomento a pesquisa;Sim;Sim;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;5;Sim;4;3;Oferecer curso de proficiencia em ingles para os docentes, uma vez que o lingua sem fronteiras da capes acabou.;Oferecer curso de proficiencia em ingles para os docentes, uma vez que o lingua sem fronteiras da capes acabou. Atuar junto aos orgaos de fomento a pesquisa para maior investimento.
Engenharia Civil;Menos de 4 anos;5;4;1;3;2;2;3;4;4;3;3;3;4;4;Sem condicoes de avaliar;3;3;3;3;3;4;5;Nao;;Empresas, Outros Pesquisadores, Agencias Governamentais;todos acima;Maior esforco de todos os envolvidos, incluindo professores e alunos. Um orcamento maior, maiores investimentos em tecnologia, dentre outros.;Sim;Sim;Sim;Nao;Sim, em um evento local;Sim, em um evento internacional;2;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Licenciamento de processos ou produtos, Avanco cientifico;3;;1;1;Nao;3;0;;
Estatistica Aplicada e Biometria;Mais de 12 anos;5;5;4;5;4;3;5;4;4;5;5;5;5;5;5;4;4;5;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);mais recurso para publicacoes;Sim;Sim;Nao;Nao;Sim, em um evento internacional;Sim, em um evento internacional;5;Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Avanco cientifico;4;;5;3;Sim;5;5;;
Genetica e Melhoramento;Mais de 12 anos;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);mais recurso para publicacao;Sim;Sim;Sim;Nao;Sim, em um evento internacional;Sim, em um evento internacional;5;Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;5;5;Sim;5;5;;
Fisica;Mais de 12 anos;5;5;5;4;4;4;4;4;5;4;5;4;5;4;3;3;4;4;4;4;4;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;O programa precisa investir em diversidade de problemas de Fisica. Hoje existem um esforco para tornar o programa de Fisica mais proximo de engenharia de materiais, o que no meu ponto vista e muito prejudicial.;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;5;3;Sim;5;4;;
Solos e Nutricao de Plantas;Mais de 12 anos;4;5;4;4;4;4;5;4;5;5;4;4;4;3;3;3;3;4;4;5;4;4;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Maior insercao internacional ;Sim;Sim;Nao;Sim;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;2;;4;4;Nao;2;0;e um programa de referencia nacional e tambem internacional.;
Engenharia Agricola;Menos de 4 anos;4;4;5;4;4;4;4;5;5;5;5;5;5;5;4;3;3;4;4;4;3;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Estou ha menos de um ano no Programa, e considerando todas as limitacoes impostas pela pandemia, ate o momento nao identifiquei sugestoes que pudessem colaborar com o aumento e reconhecimento internacional das publicacoes desenvolvidas no âmbito do PPGEA.;Nao;;;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;4;5;Nao;4;2;Percebo que o coordenador do Programa, o prof. Daniel Marcal, desempenha um trabalho salutar para o crescimento do PPGEA e atendimento das demandas toda hora apresentadas pela CAPES e CNPq.;Pelo fato de eu estar ha menos de um ano no PPGEA, ate o momento nao tive qualquer relacionamento direto com a Pro-reitoria de Pesquisa e Pos-graduacao. Percebo, no entanto, que os sistemas disponibilizados ajudam de sobremaneira no controle e acompanhamento das atividades referentes aos estudantes da pos.
Agroquimica;Mais de 12 anos;5;5;4;3;5;2;5;2;1;4;1;1;4;4;5;3;4;5;4;4;4;5;Nao;;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);O artigos publicados apresentam elevada qualidade e numero de citacoes. A politica interna do programa  (coordenacao) nao favorece a continuidade da producao cientifica. ;Nao;;;Nao;Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade;3;;4;3;Nao;3;3;Nao.;Nao
Ciencia da Nutricao;Entre 4 e 12 anos;4;5;3;4;4;4;5;5;5;5;5;5;5;4;4;3;3;4;4;5;2;5;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Planejamento estrategico;Sim;Nao;Nao;Nao;Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;3;Nao;4;3;;
Engenharia Agricola;Mais de 12 anos;5;4;4;5;5;4;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;5;Sim;5;Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Melhor planejamento, recursos e incentivo às publicacoes, em periodicos de alto impacto, dos resultados das pesquisas relacionados às dissertacoes e teses ou outros trabalhos comumente  desenvolvidos nos laboratorios.;Sim;Sim;Sim;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;3;;4;4;Sim;3;1;Com relacao à lingua estrangeira, foi citada so o ingles. Eu tenho fluencia, incluindo a possibilidade de ofertar disciplinas em espanhol.  ;Presta um trabalho de qualidade.
Fitopatologia;Mais de 12 anos;4;5;5;5;5;5;4;4;5;5;4;4;5;5;5;5;5;4;3;3;4;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Em grande parte, a producao cientifica ja e reconhecida pela comunidade. Entretanto, ha espaco para melhoria. Um fator importante e melhorar o processo seletivo para que se possa, de fato, identificar talentos e vocacao nata por parte dos estudantes. Atualmente, oferecemos todas as condicoes para desenvolvimento de pesquisa de ponta, mas percebo nao haver, em muitas situacoes, ambicao cientifica por parte dos pos-graduandos.;Nao;;;Nao;Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;4;;5;4;Sim;5;5;;
Biologia Celular e Estrutural;Menos de 4 anos;4;5;5;4;3;2;4;4;4;4;Sem condicoes de avaliar;4;4;4;3;3;4;3;3;5;5;4;Sim;3;Sociedade;Sim, junto a agencias de fomento governamentais;Investimento governamental;Nao;;;Nao;Nao, Nao completados ;Sim, em um evento regional, Nao completados;4;Licenciamento de processos ou produtos, Avanco cientifico;4;;3;4;Sim;3;2;;
Educacao;Entre 4 e 12 anos;5;5;3;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4;5;3;5;Sim;4;Sociedade, Instituicoes de Ensino;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Nao;;;Nao;Sim, em um evento local;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Avanco cientifico;1;;4;3;Nao;4;1;;
Microbiologia Agricola;Menos de 4 anos;5;4;5;5;5;5;5;5;5;5;4;5;5;5;4;4;4;5;5;4;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Recursos para publicacao em revistas de alto impacto;Nao;;;Nao;Nao;Sim, em um evento local, Sim, em um evento nacional, Sim, em um evento internacional;5;Licenciamento de processos ou produtos, Avanco cientifico;4;;3;3;Sim;3;0;Possui profissionais extremamente competentes em ensino e pesquisa;Que o processo de internacionalizacao seja discutido antes com a comunidade. Por exemplo, o preparo dos docentes para o ensino na lingua inglesa.  
Ciencia Florestal;Entre 4 e 12 anos;4;4;5;5;5;4;5;5;5;5;4;4;5;4;4;4;3;5;5;5;4;5;Sim;4;Sociedade, Empresas, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;;Sim;Sim;Nao;Sim;Sim, em um evento internacional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;3;Sim;4;4;;
Fisica;Mais de 12 anos;4;4;5;5;5;4;5;5;5;5;5;5;4;4;3;3;3;4;4;3;3;4;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Mais recursos para se fazer mais pesquisa experimental,inclusive, de ponta, altamente impactante.;Sim;Nao;Nao;Sim;Sim, em um evento regional;Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;3;;4;4;Nao;3;3;"Alem de fortalecermos ainda mais nossas linhas de pesquisa, com especial atencao e amparo às linhas experimentais promissoras, penso que deveriamos promover um continuo e robusto programa interno de incentivo a estagios de Pos-Doutoramento e similares, mesmo que de curta duracao, em grupos de ponta.
";"Acho que descentralizacao e desburocratizacao sao duas palavras de ordem a serem levadas mais a serio por nossa PPG. Tenho visto algum avanco aqui e ali, mas muito ha de ser feito para auxiliar os programas, em especial aqueles que ainda sao ""jovens"" e ate ""incipientes"", mas bastante promissores. Lembremos que os ""sarrafos"" de cada area/programa estao a alturas bem distintas na CAPES. Nao e raro termos programas conceito 4 que sao, em realidade, muito mais produtivos e promissores que outros com conceito 5."
Educacao;Entre 4 e 12 anos;5;4;4;5;3;3;5;4;4;5;4;4;5;5;4;4;4;4;3;5;4;4;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;"Fortalecimento de redes de pesquisa com instituicoes nacionais e internacionais; constituicao de laboratorios de pesquisa mais equipados e com pessoal tecnico; elevacao numerica e qualitativa das publicacoes em periodicos nacionais e estrangeiros; divulgacao cientifica na regiao onde a UFV se insere. ";Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;1;;4;3;Nao;3;0;;Para o desenvolvimento do PPGE considero que deveria ser prioridade da PPG criar um mecanismo de acompanhamento e apoio aos docentes e discentes do Programa, mobilizando-os continuamente para a sua consolidacao, o que ao meu ver extrapola a cobranca por producao, mas inclui identificacao de potencialidades, fortalecimento de competencias e habilidades especificas da comunidade academica e auxilio na organizacao das acoes priorizadas. 
Biologia Animal;Entre 4 e 12 anos;4;4;5;4;3;2;4;3;3;4;3;2;4;4;4;3;2;4;3;4;2;4;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Muito mais recursos. Fazemos pesquisa com recursos insuficientes!;Nao;;;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;3;;4;3;Sim;3;4;Muitas pesquisas realizadas sao sobre ciencia de base. Este formulario falha em reconhecer e dimensionar a importância de ciencia de base para o progresso cientifico e formacao de pessoal de nivel superior qualificado, com cultura cientifica/filosofica (e nao apenas tecnica).;e necessario valorizar mais ciencia de base. Sem ela, nao e possivel desenvolver, em longo prazo, pesquisa aplicada de qualidade. As Universidades publicas sao os principais atores (basicamente, os unicos, salvo raras excecoes) a investirem em pesquisa de base no pais. A UFV precisa valorizar este papel junto à sociedade e nao focar desproporcionalmente em pesquisa aplicada (que ja conta com interesse e participacao de setores privados).
Ciencia da Nutricao;Entre 4 e 12 anos;5;4;3;5;4;4;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Os projetos cientificos devem buscar temas inovadores considerando a relevância e pertinencia social adicionado com a captacao de recursos externos para que sejam plenamente desenvolvidos.;Sim;Nao;Nao;Sim;Sim, em um evento local;Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;5;5;Sim;4;5;O Programa de Pos-Graduacao em Ciencia da Nutricao/DNS/UFV e excelente em nos apoiar nas diferentes frentes de trabalho, promovendo otimas oportunidades para a internacionalizacao, alem da boa parceria entre os pares.;A Pro-reitoria de pesquisa e pos-graduacao e parceira dos docentes pesquisadores da UFV e esta sempre pronta em nos apoiar nas diferentes frentes de trabalho, incluindo o ativo processo da  internacionalizacao.
Economia Aplicada;Menos de 4 anos;5;5;2;5;5;4;5;5;5;5;5;5;4;4;2;2;2;4;3;5;5;4;Sim;4;Sociedade, Empresas, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Somos poucos professores no departamento e no programa de pos-graduacao, por isso a demanda individual de trabalho em atividades de ensino e administracao e muito alta. Com a necessidade de migrar para o ensino remoto, a demanda de trabalho aumentou muito. Sendo assim, sobra pouco tempo para dedicar à pesquisa. Para mim, a maior dificuldade de fazer pesquisa e o pouco tempo disponivel.;Nao;;;Nao;Eu oriento ha menos de um ano. Nenhuma pesquisa orientada por mim esta em fase de apresentacao.;Eu oriento ha menos de um ano. Nenhuma pesquisa orientada por mim esta em fase de apresentacao.;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;3;;3;3;Nao;4;4;;
